doc_id,stock_code,stock_name,report_year,has_cash_dividend,cash_dividend_per_10_shares,parent_net_profit,operating_cash_flow,liquidity_risk_label,risk_keywords,consistency_score,consistency_reason
1216492720,600658,电子城,2022,True,0.53,591864971.51,-713342966.07,medium,融资;资金安全;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216169340,600325,华发股份,2022,True,3.7,2577816542.73,38344229233.72,high,流动性;融资;债务;销售回款;现金流,1,存在现金分红且风险披露较强，需要人工复核是否存在不一致
1216276910,000069,华侨城A,2022,False,0.0,-10905405257.13,-574644519.3,medium,流动性;融资;债务;现金流,3,不分红或低分红与较高流动性/行业风险披露基本一致
1216663767,600743,华远地产,2022,,,-382171.08,180624.26,medium,融资;销售回款;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216702482,600383,金地集团,2022,True,1.36,6107289229.12,19907248730.04,high,流动性;融资;债务;销售回款;现金流,1,存在现金分红且风险披露较强，需要人工复核是否存在不一致
1216280228,000897,津滨发展,2022,False,0.0,263178142.83,892834962.43,medium,流动性;融资;债务,3,不分红或低分红与较高流动性/行业风险披露基本一致
1216235519,600683,京投发展,2022,,,202194286.9,-8353843414.61,medium,融资;债务;销售回款;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216273292,600663,陆家嘴,2022,True,1.35,1084739736.76,-539026302.25,low,流动性;融资,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216402029,600639,浦东金桥,2022,True,5.0,1583573935.75,-2531546279.34,medium,融资;资金压力;债务;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216690726,600533,栖霞建设,2022,True,1.0,188655817.51,-904630232.15,medium,流动性;融资;销售回款;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216269818,000014,沙河股份,2022,True,1.2,248678665.41,352480091.64,low,融资;市场下行,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216402918,600848,上海临港,2022,True,2.0,1008869881.55,630029381.12,low,融资,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216655440,000006,深振业A,2022,True,0.94,419619088.67,2315465555.22,low,融资;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216741112,600376,首开股份,2022,True,1.0,-460946491.82,4418636789.65,high,流动性;融资;偿债;债务;现金流,1,存在现金分红且风险披露较强，需要人工复核是否存在不一致
1216705586,600736,苏州高新,2022,True,0.47,309735470.79,-4679571955.85,medium,融资;资金压力;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216277657,000965,天保基建,2022,True,0.2,23303105.24,844983870.05,medium,融资;销售回款;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216094888,600665,天地源,2022,True,580.0,342665522.52,1395278589.93,medium,融资;资金压力;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216389638,600648,外高桥,2022,True,3.3,1240803308.65,-1709799339.2,low,融资;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216273938,000002,万科A,2022,True,6.8,22617778516.45,2750449478.44,high,流动性;融资;债务;销售回款;现金流,1,存在现金分红且风险披露较强，需要人工复核是否存在不一致
1216245554,600657,信达地产,2022,True,0.4,550403895.48,1840131585.83,medium,融资;销售回款;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216221769,000514,渝开发,2022,True,0.2,162789375.4,1331825484.56,medium,融资;债务;销售回款,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216299891,000573,粤宏远A,2022,True,0.8,41552025.96,-60005126.91,medium,融资;债务;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216411318,600895,张江高科,2022,True,1.6,822216239.79,-455738528.54,medium,融资;债务;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216166724,001979,招商蛇口,2022,True,2.3,4264079662.72,22173990098.31,medium,融资;偿债;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216380526,000797,中国武夷,2022,True,0.1,30447748.19,641355271.61,low,融资;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216259939,600675,中华企业,2022,True,0.02,23054529.61,-1456241244.26,low,融资;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216358368,000736,中交地产,2022,True,0.1,33939531.69,2934839946.48,low,融资;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1216380219,000042,中洲控股,2022,True,0.12,79662991.66,978788918.66,low,融资;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219740785,600048,保利发展,2023,True,4.1,1206715.68,1393000.75,low,流动性;融资,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219860111,002244,滨江集团,2023,True,0.9,2529138720.52,32650002223.85,high,融资;债务;销售回款;行业下行;市场下行;现金流,1,存在现金分红且风险披露较强，需要人工复核是否存在不一致
1219595758,600266,城建发展,2023,True,1.0,558893679.33,13115821322.6,low,融资;市场下行,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219469544,600649,城投控股,2023,True,0.6,415465384.94,2095748225.61,low,融资;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219622167,600094,大名城,2023,,,222551310.4,1648494574.77,medium,融资;资金压力;行业下行;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219863705,000031,大悦城,2023,False,0.0,-1465394727.5,10641533128.36,medium,融资;偿债;债务,3,不分红或低分红与较高流动性/行业风险披露基本一致
1219910873,600658,电子城,2023,False,0.0,-177281513.09,12125999.74,low,融资;资金压力,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219875404,600325,华发股份,2023,True,3.7,1837841852.48,50543848009.6,high,流动性;融资;债务;销售回款;现金流,1,存在现金分红且风险披露较强，需要人工复核是否存在不一致
1219488813,000069,华侨城A,2023,False,0.0,-6492441996.55,3422537369.95,medium,流动性;融资;债务,3,不分红或低分红与较高流动性/行业风险披露基本一致
1219854998,600743,华远地产,2023,,,-153674.79,7506.82,medium,融资;债务;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219307600,600383,金地集团,2023,True,0.197,888123647.45,2192504200.55,high,流动性;融资;债务;销售回款;现金流,1,存在现金分红且风险披露较强，需要人工复核是否存在不一致
1219997738,000897,津滨发展,2023,False,0.0,524858025.13,-319197708.14,low,融资;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219493208,600683,京投发展,2023,,,-659234610.5,-4325766372.9,high,融资;资金压力;债务;销售回款;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1222823303,600663,陆家嘴,2023,True,1.14,1093441682.63,11380550776.89,low,流动性;融资,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219468516,002314,南山控股,2023,False,0.0,147022699.61,5701298254.25,high,流动性;融资;债务;销售回款;现金流,3,不分红或低分红与较高流动性/行业风险披露基本一致
1219583682,600639,浦东金桥,2023,True,5.7,1818789939.0,-6702977654.4,,,,关键字段缺失，暂不评分
1219915446,600533,栖霞建设,2023,,,-134388981.92,-1059824502.61,medium,融资;债务;销售回款;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219865459,002146,荣盛发展,2023,False,0.0,385019315.14,-1482614272.91,medium,流动性;融资;债务;现金流,3,不分红或低分红与较高流动性/行业风险披露基本一致
1219460432,000014,沙河股份,2023,True,2.16,521765764.33,479912014.13,low,融资;市场下行,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219596576,600848,上海临港,2023,True,2.0,1060637822.65,-5556624006.2,low,融资;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219865454,000006,深振业A,2023,False,0.0,-802652783.79,72763171.55,medium,流动性;融资;债务,3,不分红或低分红与较高流动性/行业风险披露基本一致
1219689383,600376,首开股份,2023,False,0.0,-6338523623.31,5667322492.02,medium,融资;债务;现金流,3,不分红或低分红与较高流动性/行业风险披露基本一致
1219876783,600736,苏州高新,2023,True,0.27,202071171.25,-1516174996.05,medium,融资;资金压力;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219445524,000965,天保基建,2023,True,0.2,20036525.31,-1244352050.69,low,融资;销售回款,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219907193,600665,天地源,2023,,,-390388594.01,1021864607.65,medium,流动性;融资;资金安全;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219840458,600648,外高桥,2023,True,3.5,153121365.07,328789126.84,low,融资,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219487237,000002,万科A,2023,False,0.0,12162684368.86,3912323920.11,medium,流动性;融资;债务;现金流,3,不分红或低分红与较高流动性/行业风险披露基本一致
1219446608,601155,新城控股,2023,False,0.0,737102713.0,10157788553.0,high,流动性;融资;债务;销售回款;现金流,3,不分红或低分红与较高流动性/行业风险披露基本一致
1219412328,600657,信达地产,2023,False,0.0,505369230.49,712494411.15,medium,流动性;融资;销售回款,3,不分红或低分红与较高流动性/行业风险披露基本一致
1219824168,000514,渝开发,2023,True,0.12,105730824.17,-189955616.17,medium,融资;债务;销售回款,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219600830,000573,粤宏远A,2023,True,0.6,66085698.17,-298416500.5,medium,融资;债务;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219463872,600895,张江高科,2023,True,1.9,947899545.53,-2785411690.76,medium,融资;债务;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219330022,001979,招商蛇口,2023,True,3.2,6319420453.25,31430984938.66,medium,融资;资金压力;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219597689,000797,中国武夷,2023,True,0.1,39010956.14,1270159120.88,low,融资;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219650634,600675,中华企业,2023,True,0.28,555159988.34,-106422876.62,low,融资;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219517434,000736,中交地产,2023,False,0.0,-1673099491.28,7048582150.05,low,融资;债务,2,初步未发现强烈不一致，但仍需人工复核 evidence
1219769062,000042,中洲控股,2023,False,0.0,-1844825335.86,1351914948.89,low,融资;现金流,2,初步未发现强烈不一致，但仍需人工复核 evidence
